city_name_fa,sales_percentage
آب بر,0.0014533508485973514
آبادان,0.20744959551001074
آباده,0.06764618894647076
آباده طشک,0.020557383114667094
آبدانان,0.050913853747956095
آبسرد,0.0026033633311264726
آبش احمد,0.0011585642067873895
آبعلی,2.2594499445643884e-05
آبپخش,0.02451339847111688
آبگرم,0.0168796940668141
آبی بیگلو,0.0002996575458393905
آبیک,0.02129422659786523
آجین,3.119429710698824e-05
آذرشهر,0.03384588607363363
آرادان,0.0007264916770691413
آران و بیدگل,0.02336144969874165
آزاد شهر,0.033830750429749666
آستارا,0.05307252848595045
آستانه,0.004030570260684414
آستانه اشرفیه,0.0872142005940291
آسمان آباد,0.0005473066134867241
آشتیان,0.0029072518705854596
آشخانه,0.03174602807600471
آغاجاری,0.0016876168149772947
آق قلا,0.022044801981577523
آقکند,0.00021365956922594692
آلونی,0.00015093392704151648
آمل,0.5089302973853085
آوا,3.2048935383892035e-05
آوج,0.0002083180799952982
ابرکوه,0.014344443269761167
ابریشم,0.003411268384602392
ابهر,0.04435945012344926
ابوحمیظه,6.860608767845155e-05
ابوزید آباد,0.00015534439469926307
ابوموسی,0.0013915807988362841
احمد آباد,0.00021336578731826123
احمدآباد صولت,0.0004003665179429637
احمدابادمستوفی,0.0032051873202968892
اراک,0.48965313409955025
ارداق,0.00012819574153556814
اردبیل,0.3464032742276967
اردستان,0.018648517542564944
اردل,0.0006321577723623474
اردکان,0.0774689269769592
ارزوئیه,0.00038473411556054726
ارسنجان,0.00026706484685181845
ارسک,6.860608767845155e-05
ارطه,0.015419605463701207
ارومیه,0.5921915817549394
ارکواز,0.0005533099132330501
ازنا,0.0344579080340432
اسالم,0.006676175691093625
استهبان,0.014824908089462322
اسد آباد,0.013139573158684359
اسدیه,0.002552463211949775
اسفدن,0.000906338017018313
اسفراین,0.020420348276752646
اسلام آباد,0.0001568143725355376
اسلام آباد غرب,0.02764386957420438
اسلامشهر,0.2297348259340936
اسپکه,1.4956169845816284e-05
اسکو,0.003920222037115212
اشتهارد,0.012261969148833398
اشنویه,0.013904714249379706
اشکذر,0.03145846259348567
اشکنان,0.005475222494069654
اصفهان,3.2017737860525552
اصلاندوز,6.409787076778407e-05
اقبالیه,0.002409158533976394
اقلید,0.022484469040683908
الشتر,0.006180909070585418
الوان,0.0002548232218330178
الوند,0.024293909200544604
الیگودرز,0.03716256042300369
امام حسن,0.00035253828922281237
املش,0.031800398560734564
امیدیه,0.07266344764422335
امیر کلا,0.049866743453008656
امیریه,0.0003471967999921637
امین شهر,6.59673919985111e-05
انار,0.004922569584011973
انارستان,0.0029454146745427523
انارک,0.001097700607748763
اندیشه,0.21301704202054111
اندیمشک,0.09391510844855847
اهر,0.033155588327591363
اهرم,0.0021819294455089075
اهواز,1.651451643062586
اوز,0.005589114795743391
ایج,0.0012987964601553013
ایذه,0.051347806481883536
ایرانشهر,0.03443857024058148
ایزد شهر,0.006199768800760994
ایلام,0.25785429049226755
ایلخچی,0.012473504941941238
ایمانشهر,0.0005763173097962231
ایوان,0.021548302011205958
ایوانکی,0.0007857138364671894
ایور,8.012233845973009e-06
باب انار,0.0014505818205801833
بابل,0.5853000227960451
بابلسر,0.2547718559359802
باخرز,0.0002563914830711363
بادرود,0.002225043809983011
بازرگان,0.011075116949229417
باسمنج,1.9601663029711433e-05
باغ بهادران,0.0033123210356470864
باغ ملک,0.005452129099529867
باغستان,0.004299938357692488
بافت,0.011392058485921341
بافق,0.029908109766310816
باقرشهر,0.014725883823062095
بانه,0.0197851474579756
بانوره,0.00041918458450253894
باینگان,0.00016024467691946016
بجستان,0.000776200109998481
بجنورد,0.23245911523991275
بخشایش,0.00017641603556524903
بدره,0.007857623371894036
برازجان,0.0476440563080742
بردخون,0.0051697774446488555
بردستان,0.0014505326788792612
بردسکن,0.012419890812086451
بردسیر,0.05614802284528043
برزک,0.01717117272434352
بروات,0.0012995010025848238
بروجرد,0.22954560260980006
بروجن,0.035465090696991546
بستان آباد,0.005246298016920359
بستک,0.01786574259347246
بسطام,0.0028253417356802315
بشرویه,0.00870868285101329
بفروئیه,0.00031627011149563093
بلاوه,0.0008813457230570309
بلبان آباد,7.350423330295637e-06
بلداجی,0.0016298400625650604
بلده,0.002368759248478229
بم,0.028356177994919383
بمپور,3.461285021460339e-05
بن,0.004623082965827964
بناب,0.03455809514264894
بنارویه,0.0006942953165824835
بنت,0.0007457450750010145
بنجار,0.0002058187971842777
بندر امام خمینی,0.06382820461567693
بندر انزلی,0.364980472206054
بندر ترکمن,0.032010879409719355
بندر جاسک,0.012314112766702991
بندر دیر,0.0223415783281259
بندر دیلم,0.0147151591809848
بندر ریگ,5.0209998768097517e-05
بندر عباس,0.6415487749110881
بندر لنگه,0.00923202540721563
بندر ماهشهر,0.27392553734444886
بندر کنگان,0.08404429113935603
بندر گز,0.02074549273845608
بندر گناوه,0.04408231229620629
بنک,0.000960487898242937
بهاباد,0.0096103636235714
بهار,0.017708720971154772
بهارستان,0.06567945528249053
بهبهان,0.21097521235946717
بهرمان,0.00048287062645063994
بهشهر,0.12917598386343276
بهمن,0.0022330945025514446
بهنمیر,0.0021921669437683683
بوئین زهرا,0.010912555134281701
بوئین میاندشت,0.00040007220188635487
بوانات,0.004809202350729609
بوشهر,0.3031700920646995
بومهن,0.024522835814289594
بوکان,0.022554669562897707
بیارجمند,7.55062234666035e-05
بیجار,0.037443821345783806
بیدخت,0.0003935550508760405
بیدستان,0.006557780513998451
بیرجند,0.22785358013450532
بیرم,3.7390424614540705e-05
بیستون,0.0016706453012447547
بیضا,3.920332605942287e-05
بیله سوار,0.023761940673383688
بیکاه,9.614680615167609e-05
تاتار علیا,4.9004424648740115e-05
تازه آباد,0.0005743847589925745
تازه شهر,0.00016558616615010885
تازیان پائین,0.004103757743675993
تاکستان,0.04899241163946039
تایباد,0.0134289702378606
تبریز,1.2928690635050917
تجریش,0.0006174563915528332
تربت جام,0.04369252459768462
تربت حیدریه,0.07903696600912566
ترکالکی,6.6155946568353e-05
ترکمانچای,0.00019601823274388353
تسوج,0.0034591088987477735
تشان,0.001073639335360383
تفت,0.015328895225288484
تفرش,0.013327014562170591
تنکابن,0.1944886705952411
تنکمان,0.0007355620599317059
تهران,52.47066436777389
توحید,0.00013030295903705902
تودشک,0.0008830827753548378
تویسرکان,0.02143733203829031
تکاب,0.018501273516283962
تیران,0.005979252361809663
جاجرم,0.010760456228438981
جالق,0.002828367155180471
جاورسیان,5.390470686893721e-05
جعفر آباد,0.0014915505088303354
جعفریه,0.004391831201820876
جغتای,0.006472108368228077
جلفا,0.04372367456043099
جلین,0.0002423455029902225
جم,0.06511380225594329
جناح,0.01076295337465431
جنت شهر,0.00017641550141632596
جنت مکان,0.00014188384183802842
جنگل,3.185290272912723e-05
جهرم,0.09413138694995421
جواد آباد,9.614680615167609e-05
جوانرود,0.02885950064948525
جونقان,0.0004900447806363242
جوپار,0.0003381312244699068
جویبار,0.03504204581822202
جویم,0.0015181591374328117
جیرفت,0.05193104743002053
جیرنده,0.00014907188389571234
حاجی آباد,0.015161660675561798
حبیب آباد,0.0018376683279979081
حسن آباد,0.01965699872154526
حلب,7.84071862677688e-05
حمیدیه,7.909784082529167e-05
حمیل,0.0006794128592880501
حویق,0.00014422020922751416
خاتون آباد,0.00032029332118415553
خارک,0.033854102886517135
خاش,0.00875369077341966
خامنه,7.35069040475717e-05
خان ببین,0.0040632804724350605
خاکعلی,0.0001335372307662168
خرامه,8.374867549841747e-05
خرم آباد,0.4139705725831243
خرمدره,0.015844777857631304
خرمدشت,0.004226147286417846
خرمشهر,0.0432942711728813
خسروشاه,0.007650595795696863
خشت,1.0682978461297346e-05
خشکبیجار,0.0019723133836305616
خشکرود,0.0003826760397599783
خضری دشت بیاض,0.0008876721829018111
خلخال,0.01769233435049299
خلیل آباد,0.0002978061856720477
خلیل شهر,6.409787076778407e-05
خمارلو,0.0028586859822025555
خمام,0.014847567220927657
خمیر,0.02379398640387404
خمین,0.03341204497683112
خمینی شهر,0.08669638808162725
خنج,0.016243821288691833
خنجین,3.920332605942287e-05
خنداب,0.0004986205415961306
خواف,0.015044049629085683
خوانسار,0.005854899821775546
خور,0.0018221096381668745
خوراسگان,5.8805523238057364e-05
خورزوق,0.01017470371206574
خورموج,0.01621792574890165
خوسف,0.00041702822530012605
خوش رودپی,0.0005288074338342185
خومه زار,8.575760959806444e-05
خوی,0.034395782241099376
دابودشت,0.002229704259336752
داراب,0.030717578807833466
داران,0.00981969124503129
دامغان,0.06352310783135397
دامنه,0.0004914170092196778
دانسفهان,0.004171261882126162
درق,0.0049308317995539405
دره شهر,0.003627189006219672
درود,0.0006480844908013726
درچه پیاز,0.00957264736811379
درگز,0.018669908070338
درگهان,0.004565297132884037
دزفول,0.2588620826191371
دستجرد,0.002866762313919297
دستناء,0.004555718240246715
دستک,0.00036856275691475837
دستگرد,0.0021956089994285984
دشتک,0.001000310837053115
دلند,0.0013022721671976845
دلوار,0.0003999205035922045
دلگشا,7.350423330295637e-06
دلیجان,0.035227639600583366
دماوند,0.10306610453244301
دمق,0.00020890617795959261
دندی,0.00023473174424085591
دهاقان,0.006020897282596415
دهبارز,0.017261116459051644
دهدز,0.004512083080572623
دهدشت,0.03784101395082592
دهرم,0.001136903933808186
دهق,0.004735759544552806
دهلران,0.025956457872413546
دهگلان,0.009687923115498265
دورود,0.07180316982298986
دوست محمد,0.0006615605339813761
دولت آباد,0.00918300175320566
دوگنبدان,0.07892776834233674
دیزیچه,0.0002457085046098389
دیلمان,0.00026173297230178496
دیهوک,0.007984595378246863
دیواندره,0.018985801072693948
رابر,0.0035293179673443423
راز,0.008117299870842021
رازمیان,0.00011805171933764324
راسک,0.012191829519596827
رامجرد,0.005396276351538513
رامسر,0.18445424827824422
رامشیر,0.003536453128658643
رامهرمز,0.0224561089377627
رامیان,0.0020613602822968594
رانکوه,0.0002510499938404876
راور,0.03015634319287998
راین,0.0008399299521582735
رباط کریم,0.049535820568255506
